Severity;Last updated;Date created;Age in Days;Status;Risk Rating;Asset ID;Type;Last synced;Defender Solution;Definition;First Found;Last Found;Platform;Category
High;3.10.2025 20:14;27.08.2025 17:39;37;Open;High;i-08e15507e758acf15;;10.03.2025;Update Git to version 2.51.0.0;Summary: Multiple vulnerabilities have been identified in Git, a distributed revision control system. Notably, CVE-2025-48384 involves improper handling of configuration values, where trailing carriage return and line feed characters are stripped, potentially leading to incorrect submodule checkouts and unintended execution of scripts. CVE-2025-48385 describes a protocol injection flaw during repository cloning, allowing arbitrary code execution. Other vulnerabilities include CVE-2025-27613 and CVE-2025-27614, which involve Gitks handling of file modifications and arguments, potentially enabling arbitrary file creation or script execution. CVE-2025-46835 highlights a flaw in Git GUI that could allow overwriting writable files. These issues affect various Git versions and have been addressed in subsequent updates. Impact: Exploitation of these vulnerabilities could lead to arbitrary code execution, unauthorized file creation or modification, and potential security breaches, posing significant risks to affected systems. AdditionalInformation: The vulnerabilities are associated with specific CVE identifiers, including CVE-2025-48384, CVE-2025-48385, CVE-2025-27613, CVE-2025-27614, and CVE-2025-46835. Affected Git versions are below 2.50.1, with fixes available in later versions. Administrators should review the CVE details for comprehensive technical insights. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];08/27/2025;10.02.2025;TPE;git-scm git
High;3.10.2025 20:12;10.09.2025 18:13;24;Open;Medium;i-08e15507e758acf15;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in a command (command injection). This flaw allows an authenticated attacker to potentially elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:12;10.09.2025 18:08;24;Open;Medium;i-08e15507e758acf15;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Newtonsoft.Json versions prior to 13.0.1 are vulnerable to mishandling of exceptional conditions, leading to potential Denial of Service (DoS). This vulnerability arises from improper handling of deeply nested JSON structures during serialization and deserialization. Deserialization methods, such as JsonConvert.DeserializeObject, can cause high CPU and RAM usage, while serialization methods, like JsonConvert.SerializeObject, may trigger a StackOverflow exception. Exploitation requires highly nested input, with nesting levels exceeding 10 million for significant latency or around 20,000 for StackOverflow exceptions. Impact: Exploitation of this vulnerability can result in Denial of Service (DoS), causing high resource consumption or application crashes. This can be triggered remotely by unauthenticated attackers, potentially affecting any application using the library. AdditionalInformation: The vulnerability affects all applications using Newtonsoft.Json, not limited to IIS environments. IIS-specific behavior may exacerbate the DoS impact by preventing instance restarts. CVE-2024-21907 has been assigned to this issue. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:12;13.08.2025 17:30;52;Open;Medium;i-08e15507e758acf15;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, commonly referred to as SQL injection. This flaw allows an authenticated attacker to potentially elevate privileges over a network. Impact: Exploitation of this vulnerability could enable an attacker to gain elevated privileges on the affected system, compromising its security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:07;13.08.2025 17:16;52;Open;Medium;i-08e15507e758acf15;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, which could allow an authenticated attacker to perform SQL injection and elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:03;13.08.2025 17:08;52;Open;Medium;i-08e15507e758acf15;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in SQL commands, commonly referred to as SQL injection. This flaw allows an authenticated attacker to exploit the system over a network. Impact: Successful exploitation could enable an attacker to elevate privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 19:50;13.08.2025 16:37;52;Open;Medium;i-08e15507e758acf15;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Improper access control in Microsoft SQL Server allows a remote authenticated attacker to elevate privileges over a network. Impact: An attacker could gain elevated privileges, potentially compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];8.12.2025;10.02.2025;TPE;microsoft sql server
High;3.10.2025 20:12;24.04.2025 19:35;162;Open;Medium;i-08e15507e758acf15;;10.03.2025;Attention Required: vulnerabilities in Openssl;Summary: pyca/cryptographys wheels include a statically linked copy of OpenSSL, which is vulnerable to a security issue. OpenSSL versions included in cryptography 42.0.0-44.0.0 are affected. Additionally, OpenSSL is vulnerable to a man-in-the-middle attack when using RFC7250 Raw Public Keys (RPKs) for server authentication. This vulnerability affects OpenSSL 3.2 and was not present in FIPS modules 3.4, 3.3, 3.2, 3.1, and 3.0. Red Hats versions of the associated software are not affected by CVE-2024-12797. The package cloud-hypervisor-cvm is also affected by CVE-2024-12797 for versions less than 38.0.72.2-5. Impact: The vulnerability in pyca/cryptographys wheels could be exploited to compromise the security of systems using cryptography versions 42.0.0-44.0.0. The vulnerability in OpenSSL could allow attackers to perform man-in-the-middle attacks on TLS and DTLS connections using raw public keys, potentially leading to unauthorized access or data interception. AdditionalInformation: More details about the vulnerability in pyca/cryptographys wheels can be found in the provided link: https://openssl-library.org/news/secadv/20250211.txt Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];04/24/2025;10.02.2025;TPE;openssl
High;3.10.2025 19:46;24.04.2025 19:25;162;Open;Medium;i-08e15507e758acf15;;10.03.2025;Attention Required: vulnerabilities in Openssl;Summary: pyca/cryptographys wheels include a statically linked copy of OpenSSL, which is vulnerable to a security issue. OpenSSL versions included in cryptography 42.0.0-44.0.0 are affected. Additionally, OpenSSL is vulnerable to a man-in-the-middle attack when using RFC7250 Raw Public Keys (RPKs) for server authentication. This vulnerability affects OpenSSL 3.2 and was not present in FIPS modules 3.4, 3.3, 3.2, 3.1, and 3.0. Red Hats versions of the associated software are not affected by CVE-2024-12797. The package cloud-hypervisor-cvm is also affected by CVE-2024-12797 for versions less than 38.0.72.2-5. Impact: The vulnerability in pyca/cryptographys wheels could be exploited to compromise the security of systems using cryptography versions 42.0.0-44.0.0. The vulnerability in OpenSSL could allow attackers to perform man-in-the-middle attacks on TLS and DTLS connections using raw public keys, potentially leading to unauthorized access or data interception. AdditionalInformation: More details about the vulnerability in pyca/cryptographys wheels can be found in the provided link: https://openssl-library.org/news/secadv/20250211.txt Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];04/24/2025;10.02.2025;TPE;openssl
High;3.10.2025 19:58;10.09.2025 17:31;24;Open;Medium;i-003d1990c8583d9f7;;10.03.2025;Update Microsoft Sql Server 2019 to version 15.0.4445.1;Summary: Microsoft SQL Server contains a vulnerability due to improper neutralization of special elements used in a command (command injection). This flaw allows an authenticated attacker to potentially elevate privileges over a network. Impact: Exploitation of this vulnerability could result in unauthorized privilege escalation, compromising system security. Remediation: Apply the latest patches and updates provided by the respective vendors. [Generated by AI];9.09.2025;10.02.2025;TPE;microsoft sql server
